Event_Name,Match_Type,Match_Num,Scouter_Initials,Team_Num,Team_Name,Start_Position,Auto_Cargo_Upper,Auto_Cargo_Lower,Auto_Tarmac,Tele_Cargo_Upper,Tele_Cargo_Lower,Hangar_Level,Hangar_Time,Use_Launch_Pad,Cargo_Loaded_Start,Defense_Rating,Speed_Rating,Tippy,Died_in_Match,Penalties
PacificRegional,Qual,8,TR,2611,Jacktown Vectors,2,1,1,1,3,6,3,3,0,0,1,3,0,0,0
MidwestRegional,Qual,9,MK,2611,Jacktown Vectors,1,0,0,1,4,9,0,19,1,0,4,3,0,0,0
PacificRegional,Playoff,10,AB,2611,Jacktown Vectors,2,2,1,0,9,7,1,16,0,0,2,4,1,0,0
NEDistrict,Qual,11,MK,2611,Jacktown Vectors,3,1,3,0,2,7,4,18,0,1,1,2,1,0,1
NEDistrict,Playoff,12,JD,2611,Jacktown Vectors,3,0,2,1,3,7,1,8,0,0,5,2,1,0,0
PacificRegional,Playoff,13,TR,2611,Jacktown Vectors,2,1,1,0,5,5,2,4,1,1,1,3,0,0,0
PacificRegional,Playoff,14,JD,2611,Jacktown Vectors,3,2,2,1,9,5,2,0,1,1,2,1,1,1,0
MidwestRegional,Qual,15,TR,2611,Jacktown Vectors,2,1,2,1,2,3,4,30,1,0,3,2,0,0,0
LoneStarRegional,Playoff,16,JD,2611,Jacktown Vectors,2,3,1,1,8,5,3,20,1,1,3,5,1,0,0
MidwestRegional,Qual,17,KP,2611,Jacktown Vectors,3,1,0,0,2,3,1,0,1,1,2,1,1,0,2
NEDistrict,Qual,18,TR,2611,Jacktown Vectors,1,0,4,1,8,7,0,15,0,0,1,5,0,0,0
NEDistrict,Qual,19,JD,2611,Jacktown Vectors,1,0,1,0,0,1,3,25,1,1,5,4,0,0,1
LoneStarRegional,Playoff,20,MK,2611,Jacktown Vectors,1,1,0,1,8,6,0,28,0,0,5,4,1,1,0
PacificRegional,Qual,21,LS,2611,Jacktown Vectors,1,3,4,0,7,7,4,23,1,1,5,1,0,0,0
NEDistrict,Qual,22,KP,2611,Jacktown Vectors,1,2,0,1,9,7,4,1,0,1,5,4,0,0,0
NEDistrict,Playoff,23,MK,2611,Jacktown Vectors,1,0,1,0,9,1,3,6,1,0,2,5,1,0,0
LoneStarRegional,Playoff,24,KP,2611,Jacktown Vectors,2,1,2,1,1,9,3,26,0,0,4,3,1,0,1
MidwestRegional,Playoff,25,KP,2611,Jacktown Vectors,3,0,1,1,0,3,3,25,1,0,5,1,1,0,2
MidwestRegional,Qual,26,JD,2611,Jacktown Vectors,2,2,3,1,2,7,1,21,0,0,5,3,1,0,0
NEDistrict,Playoff,27,TR,2611,Jacktown Vectors,2,4,0,1,9,6,2,23,0,1,3,1,1,0,1
MidwestRegional,Qual,28,KP,2611,Jacktown Vectors,1,2,0,0,4,8,4,24,1,0,5,5,1,0,0
LoneStarRegional,Playoff,29,KP,2611,Jacktown Vectors,1,4,1,1,8,2,3,29,0,1,1,3,0,0,0
NEDistrict,Playoff,30,KP,2611,Jacktown Vectors,1,4,3,0,8,5,2,0,1,1,5,3,0,0,0
LoneStarRegional,Qual,31,AB,2611,Jacktown Vectors,3,4,2,0,8,2,1,25,1,1,3,1,1,0,0
NEDistrict,Qual,32,KP,2611,Jacktown Vectors,3,2,1,1,3,7,3,9,0,0,4,2,1,0,0
PacificRegional,Playoff,33,TR,2611,Jacktown Vectors,1,2,2,0,9,9,2,29,0,1,3,2,0,0,1
NEDistrict,Qual,1,MK,3538,RoboJackets,1,1,1,1,1,5,0,18,0,0,3,5,0,0,0
LoneStarRegional,Playoff,2,MK,3538,RoboJackets,1,4,2,1,7,3,2,16,0,1,3,5,0,0,1
NEDistrict,Qual,3,AB,3538,RoboJackets,2,1,2,0,8,4,1,22,1,1,4,2,0,0,0
LoneStarRegional,Playoff,4,LS,3538,RoboJackets,1,0,1,0,7,4,0,26,0,0,2,3,1,0,0
PacificRegional,Qual,5,JD,3538,RoboJackets,2,4,3,0,6,5,1,25,1,0,2,1,0,0,1
MidwestRegional,Qual,6,XZ,3538,RoboJackets,1,1,3,1,7,9,1,30,1,0,4,5,0,0,0
NEDistrict,Qual,7,XZ,3538,RoboJackets,2,3,0,0,3,3,1,28,1,1,4,1,1,0,0
PacificRegional,Playoff,8,AB,3538,RoboJackets,3,2,0,1,9,0,3,15,0,1,3,2,0,0,0
PacificRegional,Playoff,9,KP,3538,RoboJackets,1,4,0,1,7,0,3,11,1,0,5,5,0,0,1
NEDistrict,Qual,10,TR,3538,RoboJackets,3,1,3,0,5,4,0,17,1,0,5,1,0,0,0
MidwestRegional,Qual,11,MK,3538,RoboJackets,2,3,1,1,6,2,0,7,1,1,5,4,0,0,0
PacificRegional,Qual,12,LS,3538,RoboJackets,1,3,0,1,8,9,1,0,0,1,2,2,1,0,0
NEDistrict,Playoff,13,KP,3538,RoboJackets,1,3,0,1,4,6,3,14,1,1,4,4,0,0,0
NEDistrict,Playoff,14,TR,3538,RoboJackets,2,3,3,0,6,4,2,9,1,1,5,2,0,0,0
LoneStarRegional,Qual,15,LS,3538,RoboJackets,1,3,1,0,9,6,0,9,1,0,3,1,1,0,0
MidwestRegional,Playoff,16,KP,3538,RoboJackets,2,1,1,0,1,3,4,13,0,1,4,5,1,1,0
PacificRegional,Playoff,17,JD,3538,RoboJackets,1,2,4,0,4,4,0,1,0,1,1,4,0,1,0
LoneStarRegional,Qual,18,AB,3538,RoboJackets,2,3,0,0,6,5,2,22,1,0,4,1,0,0,1
NEDistrict,Qual,19,AB,3538,RoboJackets,2,1,3,1,2,3,0,4,1,1,5,1,1,0,0
MidwestRegional,Playoff,20,TR,3538,RoboJackets,3,3,0,1,9,7,0,5,1,1,5,1,1,0,0
MidwestRegional,Playoff,21,XZ,3538,RoboJackets,2,3,2,1,6,7,4,4,0,0,2,5,0,0,0
LoneStarRegional,Playoff,22,TR,3538,RoboJackets,1,0,4,0,6,8,3,14,1,1,4,5,0,0,0
NEDistrict,Qual,23,AB,3538,RoboJackets,1,4,3,0,7,4,2,21,1,0,3,2,0,0,0
LoneStarRegional,Playoff,24,XZ,3538,RoboJackets,1,1,3,0,8,6,0,12,1,0,1,2,1,0,0
PacificRegional,Playoff,25,XZ,3538,RoboJackets,1,3,2,0,4,2,4,0,0,0,5,2,1,0,0
NEDistrict,Playoff,26,TR,3538,RoboJackets,1,1,2,0,5,8,3,25,1,0,2,2,0,0,0
LoneStarRegional,Qual,27,AB,3538,RoboJackets,3,0,3,1,7,8,1,19,1,1,1,3,0,0,0
MidwestRegional,Playoff,28,JD,3538,RoboJackets,3,3,0,0,9,6,1,8,0,1,2,4,1,0,0
PacificRegional,Qual,29,XZ,3538,RoboJackets,1,2,2,1,6,9,4,10,1,0,2,5,1,0,0
MidwestRegional,Playoff,30,TR,3538,RoboJackets,1,1,3,0,9,5,1,5,1,0,3,3,0,0,1
MidwestRegional,Playoff,31,KP,3538,RoboJackets,3,0,2,0,5,5,1,2,0,1,1,3,0,0,0
NEDistrict,Playoff,32,JD,3538,RoboJackets,1,1,2,0,2,5,1,11,1,1,2,4,1,0,0
LoneStarRegional,Qual,33,TR,3538,RoboJackets,2,1,0,1,4,0,2,4,1,1,1,4,1,0,1
LoneStarRegional,Qual,1,LS,3542,S.P.E.E.D,1,4,4,1,6,4,1,27,0,0,3,5,1,0,0
PacificRegional,Playoff,2,AB,3542,S.P.E.E.D,3,2,0,1,5,6,3,21,1,0,3,3,0,0,0
PacificRegional,Playoff,3,TR,3542,S.P.E.E.D,1,2,1,0,7,3,1,9,0,1,4,4,1,0,0
PacificRegional,Playoff,4,MK,3542,S.P.E.E.D,1,4,4,0,4,5,1,16,1,1,5,4,0,1,0
PacificRegional,Playoff,5,AB,3542,S.P.E.E.D,3,4,4,0,7,6,1,26,1,1,3,3,1,1,0
NEDistrict,Playoff,6,TR,3542,S.P.E.E.D,1,1,2,1,1,9,1,28,0,0,2,5,0,0,0
PacificRegional,Playoff,7,AB,3542,S.P.E.E.D,3,0,3,1,9,3,0,13,1,1,4,3,0,0,0
LoneStarRegional,Qual,8,JD,3542,S.P.E.E.D,2,2,4,1,6,5,0,20,0,1,4,5,1,0,0
LoneStarRegional,Playoff,9,KP,3542,S.P.E.E.D,3,0,4,0,6,9,0,1,0,1,1,5,1,0,0
NEDistrict,Playoff,10,LS,3542,S.P.E.E.D,1,0,2,0,2,4,1,0,0,1,1,3,1,0,0
PacificRegional,Qual,11,XZ,3542,S.P.E.E.D,1,2,2,1,3,3,2,28,0,0,5,2,0,0,0
LoneStarRegional,Playoff,12,TR,3542,S.P.E.E.D,3,0,0,1,8,6,2,24,1,1,1,1,0,0,1
MidwestRegional,Qual,13,MK,3542,S.P.E.E.D,1,0,2,1,1,4,4,25,1,0,4,5,1,0,0
PacificRegional,Qual,14,JD,3542,S.P.E.E.D,3,0,0,1,2,0,0,30,1,1,5,4,0,0,0
MidwestRegional,Qual,15,MK,3542,S.P.E.E.D,2,1,1,0,4,9,0,3,1,0,5,4,1,0,2
MidwestRegional,Qual,16,MK,3542,S.P.E.E.D,1,2,3,1,2,6,3,1,1,1,4,1,0,0,0
NEDistrict,Playoff,17,AB,3542,S.P.E.E.D,2,2,0,1,5,8,1,17,1,0,3,5,1,0,2
NEDistrict,Qual,18,XZ,3542,S.P.E.E.D,3,4,1,0,4,3,1,11,1,0,2,2,0,0,0
PacificRegional,Playoff,19,TR,3542,S.P.E.E.D,1,4,1,1,8,4,0,29,1,0,4,1,0,0,0
PacificRegional,Qual,20,XZ,3542,S.P.E.E.D,1,0,2,0,9,7,3,17,0,0,5,4,0,0,0
NEDistrict,Qual,21,AB,3542,S.P.E.E.D,2,0,3,1,2,8,3,14,0,1,1,1,1,0,1
LoneStarRegional,Playoff,22,LS,3542,S.P.E.E.D,1,4,2,0,9,3,1,11,1,0,4,3,1,0,1
NEDistrict,Qual,23,MK,3542,S.P.E.E.D,3,1,0,1,1,3,2,1,1,1,4,5,1,0,0
MidwestRegional,Playoff,24,AB,3542,S.P.E.E.D,3,1,3,1,5,8,1,28,1,1,2,3,1,0,1
NEDistrict,Playoff,25,JD,3542,S.P.E.E.D,2,2,1,1,6,5,4,14,0,1,2,4,0,0,0
PacificRegional,Qual,26,KP,3542,S.P.E.E.D,3,0,3,0,6,5,4,9,1,0,3,3,0,0,0
LoneStarRegional,Playoff,27,AB,3542,S.P.E.E.D,3,2,2,1,7,2,3,30,1,0,2,4,1,0,0
PacificRegional,Qual,28,KP,3542,S.P.E.E.D,1,0,1,1,3,3,4,14,0,0,5,4,1,0,0
NEDistrict,Qual,29,MK,3542,S.P.E.E.D,2,2,3,1,8,6,2,6,0,0,2,3,0,0,1
MidwestRegional,Playoff,30,JD,3542,S.P.E.E.D,3,3,2,1,6,2,0,28,1,0,1,1,1,0,0
PacificRegional,Qual,31,JD,3542,S.P.E.E.D,1,0,1,0,1,8,1,20,1,0,1,3,0,0,0
NEDistrict,Qual,32,XZ,3542,S.P.E.E.D,1,2,3,0,9,4,4,10,0,0,1,4,0,0,0
PacificRegional,Playoff,33,KP,3542,S.P.E.E.D,2,1,3,0,2,5,4,16,0,0,5,2,1,0,1
LoneStarRegional,Qual,1,TR,3568,RoboEagles,3,4,3,0,9,4,3,11,0,1,4,3,0,0,2
NEDistrict,Qual,2,TR,3568,RoboEagles,2,2,3,0,6,4,0,25,1,1,4,4,0,0,0
PacificRegional,Playoff,3,XZ,3568,RoboEagles,1,4,2,1,4,7,4,0,0,0,5,4,0,0,0
MidwestRegional,Playoff,4,TR,3568,RoboEagles,1,0,0,0,9,3,0,27,1,0,2,1,0,0,0
MidwestRegional,Playoff,5,TR,3568,RoboEagles,2,1,0,1,9,4,4,14,1,0,3,1,1,0,0
PacificRegional,Playoff,6,JD,3568,RoboEagles,3,1,0,0,6,0,2,27,1,1,4,4,0,0,0
LoneStarRegional,Qual,7,LS,3568,RoboEagles,2,2,0,1,4,9,3,18,0,1,2,5,1,0,0
MidwestRegional,Qual,8,AB,3568,RoboEagles,2,0,3,0,5,3,4,23,0,0,3,4,0,0,1
LoneStarRegional,Playoff,9,AB,3568,RoboEagles,2,2,0,1,7,2,2,10,0,1,4,2,1,0,0
MidwestRegional,Playoff,10,KP,3568,RoboEagles,3,1,1,1,7,3,4,14,0,1,2,5,0,0,0
NEDistrict,Playoff,11,JD,3568,RoboEagles,2,4,4,1,4,8,3,1,1,1,5,5,1,0,0
MidwestRegional,Playoff,12,TR,3568,RoboEagles,1,0,3,0,4,3,3,5,0,1,2,2,0,0,1
MidwestRegional,Playoff,13,KP,3568,RoboEagles,1,4,2,1,5,2,4,21,0,0,3,1,0,0,0
PacificRegional,Playoff,14,JD,3568,RoboEagles,3,1,0,0,5,6,2,16,0,1,1,4,0,0,0
NEDistrict,Playoff,15,AB,3568,RoboEagles,1,4,2,0,4,4,4,1,0,0,5,5,1,0,0
PacificRegional,Playoff,16,TR,3568,RoboEagles,3,0,0,0,1,7,0,3,1,0,2,4,0,0,0
MidwestRegional,Playoff,17,XZ,3568,RoboEagles,3,3,3,0,5,6,3,21,0,1,2,3,1,0,0
MidwestRegional,Qual,18,XZ,3568,RoboEagles,2,0,2,0,1,8,2,27,0,1,4,4,1,0,0
LoneStarRegional,Playoff,19,LS,3568,RoboEagles,2,2,0,0,5,4,2,23,1,1,1,3,1,0,1
PacificRegional,Playoff,20,AB,3568,RoboEagles,3,0,3,0,4,9,2,25,0,0,1,5,0,1,0
MidwestRegional,Qual,21,MK,3568,RoboEagles,3,0,0,1,3,0,3,19,1,0,4,3,0,0,0
PacificRegional,Qual,22,MK,3568,RoboEagles,2,1,1,1,5,3,0,23,1,0,4,4,1,0,0
MidwestRegional,Qual,23,LS,3568,RoboEagles,1,2,1,1,2,4,4,10,0,1,5,3,0,0,2
LoneStarRegional,Qual,24,AB,3568,RoboEagles,2,4,1,0,9,5,3,12,1,1,1,5,1,0,0
NEDistrict,Qual,25,TR,3568,RoboEagles,1,2,3,1,4,7,4,30,1,1,1,3,0,0,0
PacificRegional,Qual,26,XZ,3568,RoboEagles,2,4,0,1,5,6,0,0,0,0,4,4,0,0,1
PacificRegional,Playoff,27,JD,3568,RoboEagles,2,2,1,0,4,1,3,30,1,1,1,4,1,0,0
MidwestRegional,Qual,28,TR,3568,RoboEagles,1,3,2,0,3,2,2,5,1,0,4,2,0,0,0
MidwestRegional,Playoff,29,KP,3568,RoboEagles,1,1,1,0,6,2,2,8,0,1,5,5,1,0,0
PacificRegional,Qual,30,MK,3568,RoboEagles,3,2,4,1,2,6,0,4,0,1,4,3,1,0,0
PacificRegional,Playoff,31,XZ,3568,RoboEagles,1,0,0,1,4,0,0,26,1,0,3,4,1,0,0
NEDistrict,Qual,32,MK,3568,RoboEagles,1,1,2,0,4,9,3,17,1,0,4,1,0,0,1
MidwestRegional,Qual,33,LS,3568,RoboEagles,2,0,1,0,3,5,1,8,1,0,2,1,1,0,1
MidwestRegional,Playoff,1,MK,3604,Goon Squad,2,0,0,1,2,8,1,27,0,0,2,5,1,0,0
LoneStarRegional,Playoff,2,AB,3604,Goon Squad,2,2,4,1,7,9,1,15,0,0,2,2,1,0,0
MidwestRegional,Qual,3,AB,3604,Goon Squad,1,1,1,0,6,2,4,7,0,1,2,2,0,0,1
NEDistrict,Playoff,4,JD,3604,Goon Squad,1,0,2,1,7,7,4,27,1,0,5,3,1,0,0
MidwestRegional,Playoff,5,AB,3604,Goon Squad,1,4,4,1,9,7,3,2,0,1,4,2,1,0,1
NEDistrict,Qual,6,JD,3604,Goon Squad,1,3,0,0,8,5,2,14,0,1,1,3,0,0,1
LoneStarRegional,Playoff,7,TR,3604,Goon Squad,1,3,1,1,4,9,3,6,0,1,5,5,0,0,0
NEDistrict,Playoff,8,TR,3604,Goon Squad,3,4,1,0,9,7,3,28,1,1,4,4,0,0,0
PacificRegional,Qual,9,TR,3604,Goon Squad,2,0,4,1,4,4,1,20,1,1,2,3,1,0,0
NEDistrict,Qual,10,LS,3604,Goon Squad,3,0,2,1,7,4,1,9,1,0,2,5,1,0,0
PacificRegional,Qual,11,JD,3604,Goon Squad,2,2,1,1,2,9,1,28,1,1,5,2,0,0,0
NEDistrict,Qual,12,MK,3604,Goon Squad,1,1,0,0,3,7,3,20,1,0,1,1,1,0,0
PacificRegional,Playoff,13,JD,3604,Goon Squad,2,4,1,0,9,8,2,9,0,0,5,3,0,0,0
LoneStarRegional,Playoff,14,KP,3604,Goon Squad,2,3,0,1,3,9,1,7,1,1,3,3,0,0,0
LoneStarRegional,Qual,15,TR,3604,Goon Squad,3,0,1,1,0,9,0,22,1,1,3,5,0,0,0
LoneStarRegional,Playoff,16,TR,3604,Goon Squad,1,3,3,1,8,3,0,7,0,1,4,2,1,0,0
NEDistrict,Playoff,17,MK,3604,Goon Squad,1,0,4,1,7,6,0,12,0,0,4,1,1,0,0
PacificRegional,Playoff,18,TR,3604,Goon Squad,2,3,1,1,6,3,2,23,1,1,5,5,1,0,0
LoneStarRegional,Qual,19,KP,3604,Goon Squad,2,2,0,0,3,3,2,4,1,0,5,1,1,0,0
MidwestRegional,Qual,20,XZ,3604,Goon Squad,1,1,3,0,6,3,4,30,1,0,1,4,0,0,0
MidwestRegional,Qual,21,MK,3604,Goon Squad,3,3,4,1,9,4,2,9,0,0,2,3,1,0,0
MidwestRegional,Qual,22,XZ,3604,Goon Squad,2,3,0,1,8,6,0,0,0,0,2,1,0,0,1
NEDistrict,Qual,23,TR,3604,Goon Squad,3,4,3,1,5,9,1,10,1,1,2,1,1,0,0
NEDistrict,Playoff,24,TR,3604,Goon Squad,3,0,3,0,3,6,2,4,1,0,1,4,0,0,1
MidwestRegional,Playoff,25,AB,3604,Goon Squad,1,1,3,0,9,8,4,0,1,1,4,1,1,0,1
NEDistrict,Playoff,26,KP,3604,Goon Squad,2,3,3,0,3,8,4,5,1,0,5,1,0,0,0
PacificRegional,Qual,27,AB,3604,Goon Squad,3,1,1,0,2,6,4,20,1,0,4,5,1,0,2
MidwestRegional,Playoff,28,TR,3604,Goon Squad,1,1,4,0,7,8,1,14,1,1,5,4,1,0,1
MidwestRegional,Qual,29,MK,3604,Goon Squad,2,4,0,0,7,7,1,15,0,0,3,5,1,0,0
LoneStarRegional,Playoff,30,TR,3604,Goon Squad,3,1,1,0,6,5,2,20,0,0,2,4,1,0,0
LoneStarRegional,Qual,31,KP,3604,Goon Squad,1,2,4,0,5,7,0,20,0,0,5,2,0,1,0
MidwestRegional,Playoff,32,XZ,3604,Goon Squad,3,2,0,0,2,8,2,30,0,0,5,1,1,0,0
MidwestRegional,Qual,33,TR,3604,Goon Squad,3,2,4,1,5,8,1,20,0,1,5,3,1,0,0
NEDistrict,Playoff,1,JD,3619,Blackhawks,2,2,1,0,6,2,2,13,1,0,2,3,1,0,0
NEDistrict,Playoff,2,LS,3619,Blackhawks,2,3,4,1,5,9,1,17,1,0,5,3,0,0,0
PacificRegional,Playoff,3,TR,3619,Blackhawks,2,4,3,1,5,3,3,14,1,1,4,3,0,0,0
LoneStarRegional,Playoff,4,KP,3619,Blackhawks,2,1,1,1,2,5,3,2,1,1,1,3,0,0,0
MidwestRegional,Qual,5,JD,3619,Blackhawks,3,3,2,0,5,9,0,3,1,0,3,5,1,0,2
LoneStarRegional,Qual,6,MK,3619,Blackhawks,3,4,1,1,8,2,3,10,0,0,2,3,1,0,1
PacificRegional,Qual,7,AB,3619,Blackhawks,1,1,2,1,1,2,1,26,0,1,3,1,1,0,0
NEDistrict,Qual,8,MK,3619,Blackhawks,1,0,2,0,2,8,4,2,1,1,2,1,1,0,0
NEDistrict,Qual,9,LS,3619,Blackhawks,3,3,4,0,8,7,0,23,1,0,2,3,0,0,0
LoneStarRegional,Qual,10,XZ,3619,Blackhawks,3,3,4,1,6,5,2,19,0,1,3,5,1,0,0
NEDistrict,Playoff,11,MK,3619,Blackhawks,3,0,3,1,8,5,3,23,1,1,1,5,1,1,0
PacificRegional,Playoff,12,MK,3619,Blackhawks,3,2,3,0,2,4,2,28,1,1,1,5,1,0,0
PacificRegional,Qual,13,JD,3619,Blackhawks,3,0,0,1,0,3,2,27,0,1,1,3,1,0,0
NEDistrict,Qual,14,XZ,3619,Blackhawks,1,2,1,0,8,9,0,1,0,1,4,2,1,0,2
PacificRegional,Qual,15,LS,3619,Blackhawks,3,2,1,0,9,3,2,17,1,1,4,5,0,0,0
PacificRegional,Playoff,16,LS,3619,Blackhawks,3,2,1,1,8,4,0,12,0,0,1,5,0,0,0
PacificRegional,Playoff,17,TR,3619,Blackhawks,3,3,1,1,5,2,0,3,0,0,5,2,0,0,0
LoneStarRegional,Qual,18,AB,3619,Blackhawks,1,0,4,0,7,8,3,29,1,0,5,4,0,0,0
PacificRegional,Qual,19,KP,3619,Blackhawks,1,3,1,1,6,5,2,3,0,0,5,5,0,0,0
LoneStarRegional,Qual,20,TR,3619,Blackhawks,1,1,1,0,3,7,4,27,1,1,1,1,0,0,0
PacificRegional,Playoff,21,KP,3619,Blackhawks,3,1,3,0,3,8,1,19,1,1,3,2,0,0,0
PacificRegional,Qual,22,MK,3619,Blackhawks,3,2,3,0,3,5,0,29,1,0,4,3,0,0,0
LoneStarRegional,Playoff,23,KP,3619,Blackhawks,2,4,1,0,8,5,1,19,1,1,5,3,1,1,0
MidwestRegional,Qual,24,XZ,3619,Blackhawks,1,1,1,1,7,7,2,8,0,1,3,1,1,0,2
PacificRegional,Playoff,25,MK,3619,Blackhawks,1,4,4,0,4,7,1,17,0,1,3,1,0,1,0
NEDistrict,Playoff,26,LS,3619,Blackhawks,1,2,1,0,2,1,4,21,1,1,1,5,0,0,0
NEDistrict,Qual,27,JD,3619,Blackhawks,3,2,0,1,4,6,0,11,1,1,5,2,0,0,0
NEDistrict,Playoff,28,AB,3619,Blackhawks,2,2,1,1,4,4,2,23,0,0,3,5,1,0,0
MidwestRegional,Playoff,29,MK,3619,Blackhawks,2,4,1,0,8,7,1,0,0,1,4,3,1,0,0
PacificRegional,Qual,30,LS,3619,Blackhawks,2,1,3,0,3,4,0,27,1,1,2,4,0,0,0
LoneStarRegional,Playoff,31,XZ,3619,Blackhawks,3,0,3,1,1,9,4,2,0,1,4,3,1,0,0
PacificRegional,Qual,32,LS,3619,Blackhawks,1,2,1,1,9,3,1,0,0,0,4,5,1,0,0
MidwestRegional,Qual,33,AB,3619,Blackhawks,1,1,1,1,9,3,1,0,1,0,5,4,1,0,0
LoneStarRegional,Playoff,1,JD,3773,Arrowhead Robotics,1,3,2,1,9,7,0,14,0,1,5,1,0,0,0
PacificRegional,Playoff,2,JD,3773,Arrowhead Robotics,3,1,0,1,2,1,2,6,1,1,3,5,1,0,0
MidwestRegional,Playoff,3,MK,3773,Arrowhead Robotics,1,1,4,1,6,9,1,15,0,1,3,5,0,0,0
PacificRegional,Qual,4,JD,3773,Arrowhead Robotics,3,4,4,0,6,7,3,19,0,0,2,5,1,0,0
PacificRegional,Qual,5,XZ,3773,Arrowhead Robotics,2,3,0,0,4,9,3,21,0,0,5,3,1,0,0
PacificRegional,Qual,6,MK,3773,Arrowhead Robotics,1,0,1,0,6,3,0,20,0,0,2,5,1,0,0
NEDistrict,Playoff,7,TR,3773,Arrowhead Robotics,2,2,1,0,3,5,3,19,1,1,1,1,0,0,0
PacificRegional,Qual,8,LS,3773,Arrowhead Robotics,3,1,2,0,3,3,3,0,1,1,3,2,0,0,0
PacificRegional,Qual,9,LS,3773,Arrowhead Robotics,3,3,4,1,7,5,3,23,0,1,1,4,1,0,0
NEDistrict,Qual,10,XZ,3773,Arrowhead Robotics,1,4,4,0,6,5,4,12,0,1,4,1,1,0,0
LoneStarRegional,Playoff,11,AB,3773,Arrowhead Robotics,3,2,0,0,5,4,4,14,0,1,3,3,0,0,0
MidwestRegional,Qual,12,AB,3773,Arrowhead Robotics,3,1,1,0,2,8,1,17,1,1,5,2,0,0,1
PacificRegional,Playoff,13,KP,3773,Arrowhead Robotics,2,0,4,1,7,7,3,1,1,0,4,1,0,0,0
NEDistrict,Playoff,14,JD,3773,Arrowhead Robotics,1,3,2,1,3,8,2,16,1,0,3,4,1,0,0
MidwestRegional,Playoff,15,TR,3773,Arrowhead Robotics,1,1,1,1,2,9,3,16,1,1,5,3,0,0,1
LoneStarRegional,Qual,16,XZ,3773,Arrowhead Robotics,2,2,3,1,8,6,4,23,1,0,1,2,0,0,0
LoneStarRegional,Qual,17,LS,3773,Arrowhead Robotics,3,3,1,1,8,3,3,7,1,0,2,3,1,0,0
MidwestRegional,Qual,18,KP,3773,Arrowhead Robotics,3,3,4,0,3,9,3,10,0,1,1,1,1,0,0
MidwestRegional,Playoff,19,KP,3773,Arrowhead Robotics,1,2,0,0,4,7,4,2,0,1,1,2,1,0,0
PacificRegional,Qual,20,AB,3773,Arrowhead Robotics,2,3,1,0,9,1,0,8,0,0,1,2,0,0,1
NEDistrict,Playoff,21,KP,3773,Arrowhead Robotics,2,0,4,1,0,7,4,7,1,0,2,1,1,0,0
NEDistrict,Playoff,22,JD,3773,Arrowhead Robotics,2,2,0,0,9,2,0,6,1,1,3,5,1,0,1
LoneStarRegional,Playoff,23,JD,3773,Arrowhead Robotics,2,1,4,0,5,5,0,18,1,0,1,1,1,0,0
LoneStarRegional,Qual,24,MK,3773,Arrowhead Robotics,2,4,1,0,6,8,4,4,0,1,2,4,1,0,0
NEDistrict,Qual,25,LS,3773,Arrowhead Robotics,1,4,1,0,4,7,0,25,1,0,4,4,1,0,0
PacificRegional,Qual,26,TR,3773,Arrowhead Robotics,2,3,1,0,6,3,3,25,1,1,5,3,0,0,0
LoneStarRegional,Qual,27,MK,3773,Arrowhead Robotics,2,1,2,0,4,8,4,30,0,1,5,3,0,0,1
NEDistrict,Playoff,28,KP,3773,Arrowhead Robotics,2,3,2,0,3,6,2,29,0,0,2,2,1,0,0
PacificRegional,Qual,29,AB,3773,Arrowhead Robotics,1,4,3,1,4,3,0,5,1,0,5,4,1,0,2
LoneStarRegional,Playoff,30,KP,3773,Arrowhead Robotics,3,1,2,1,5,3,3,7,0,0,2,5,0,0,0
LoneStarRegional,Qual,31,TR,3773,Arrowhead Robotics,1,4,4,0,6,5,1,25,1,1,3,1,1,0,0
MidwestRegional,Qual,32,MK,3773,Arrowhead Robotics,3,3,1,0,4,6,2,22,1,1,1,1,0,0,0
NEDistrict,Playoff,33,AB,3773,Arrowhead Robotics,3,4,0,1,6,1,1,2,0,1,4,3,0,0,2
NEDistrict,Qual,1,XZ,4395,Dundee Vi-Borgs,3,1,3,1,4,6,1,20,1,0,2,2,1,0,0
PacificRegional,Playoff,2,AB,4395,Dundee Vi-Borgs,3,0,3,0,1,9,3,28,0,1,4,4,1,0,1
LoneStarRegional,Playoff,3,TR,4395,Dundee Vi-Borgs,1,3,0,1,9,4,1,25,1,1,4,2,1,0,0
MidwestRegional,Playoff,4,LS,4395,Dundee Vi-Borgs,1,2,4,0,8,5,3,22,0,1,4,4,1,1,0
LoneStarRegional,Playoff,5,TR,4395,Dundee Vi-Borgs,2,4,4,0,8,9,1,6,1,1,5,2,0,0,1
NEDistrict,Qual,6,AB,4395,Dundee Vi-Borgs,2,0,2,0,4,7,1,7,1,0,2,5,1,0,0
PacificRegional,Playoff,7,JD,4395,Dundee Vi-Borgs,1,0,2,0,4,6,4,0,0,0,1,3,1,0,0
MidwestRegional,Qual,8,KP,4395,Dundee Vi-Borgs,3,2,3,0,8,4,0,0,0,0,1,3,0,0,0
NEDistrict,Qual,9,JD,4395,Dundee Vi-Borgs,2,1,4,0,5,7,1,28,0,0,3,1,0,0,0
NEDistrict,Playoff,10,AB,4395,Dundee Vi-Borgs,2,3,3,0,5,7,0,23,1,1,2,1,0,0,0
